Unnamed: 0,CVE_ENT,CODIGO,ID_ESTRATO,Unidades 2019,Unidades 2020,DELTA UNIDADES_ECONOMICAS,Concepto,2019 - 9 Meses,2020 - 9 Meses,DELTA PIB
0,1,21,0 a 5 personas,3,4,1,21 - Minería,857631.916,850685.271,-0.8099797675906517
1,1,21,6 a 10 personas,3,3,0,21 - Minería,857631.916,850685.271,-0.8099797675906517
41,2,21,0 a 5 personas,16,19,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
42,2,21,6 a 10 personas,16,14,-2,21 - Minería,857631.916,850685.271,-0.8099797675906517
82,3,21,0 a 5 personas,12,17,5,21 - Minería,857631.916,850685.271,-0.8099797675906517
83,3,21,6 a 10 personas,4,8,4,21 - Minería,857631.916,850685.271,-0.8099797675906517
123,4,21,0 a 5 personas,6,9,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
124,4,21,6 a 10 personas,2,5,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
164,5,21,0 a 5 personas,49,75,26,21 - Minería,857631.916,850685.271,-0.8099797675906517
165,5,21,6 a 10 personas,16,19,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
205,6,21,0 a 5 personas,21,22,1,21 - Minería,857631.916,850685.271,-0.8099797675906517
206,6,21,6 a 10 personas,9,13,4,21 - Minería,857631.916,850685.271,-0.8099797675906517
246,7,21,0 a 5 personas,25,22,-3,21 - Minería,857631.916,850685.271,-0.8099797675906517
247,7,21,6 a 10 personas,9,11,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
287,8,21,0 a 5 personas,39,44,5,21 - Minería,857631.916,850685.271,-0.8099797675906517
288,8,21,6 a 10 personas,12,13,1,21 - Minería,857631.916,850685.271,-0.8099797675906517
328,9,21,0 a 5 personas,9,15,6,21 - Minería,857631.916,850685.271,-0.8099797675906517
329,9,21,6 a 10 personas,6,7,1,21 - Minería,857631.916,850685.271,-0.8099797675906517
370,10,21,0 a 5 personas,42,63,21,21 - Minería,857631.916,850685.271,-0.8099797675906517
371,10,21,6 a 10 personas,6,2,-4,21 - Minería,857631.916,850685.271,-0.8099797675906517
411,11,21,0 a 5 personas,24,30,6,21 - Minería,857631.916,850685.271,-0.8099797675906517
412,11,21,6 a 10 personas,4,7,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
453,12,21,0 a 5 personas,298,236,-62,21 - Minería,857631.916,850685.271,-0.8099797675906517
454,12,21,6 a 10 personas,22,17,-5,21 - Minería,857631.916,850685.271,-0.8099797675906517
493,13,21,0 a 5 personas,54,61,7,21 - Minería,857631.916,850685.271,-0.8099797675906517
494,13,21,6 a 10 personas,32,35,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
533,14,21,0 a 5 personas,26,36,10,21 - Minería,857631.916,850685.271,-0.8099797675906517
534,14,21,6 a 10 personas,10,14,4,21 - Minería,857631.916,850685.271,-0.8099797675906517
575,15,21,0 a 5 personas,51,56,5,21 - Minería,857631.916,850685.271,-0.8099797675906517
576,15,21,6 a 10 personas,26,28,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
617,16,21,0 a 5 personas,57,72,15,21 - Minería,857631.916,850685.271,-0.8099797675906517
618,16,21,6 a 10 personas,20,18,-2,21 - Minería,857631.916,850685.271,-0.8099797675906517
658,17,21,0 a 5 personas,12,15,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
659,17,21,6 a 10 personas,3,5,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
699,18,21,0 a 5 personas,19,21,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
700,18,21,6 a 10 personas,4,4,0,21 - Minería,857631.916,850685.271,-0.8099797675906517
740,19,21,0 a 5 personas,14,17,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
741,19,21,6 a 10 personas,10,9,-1,21 - Minería,857631.916,850685.271,-0.8099797675906517
782,20,21,0 a 5 personas,3,5,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
783,20,21,6 a 10 personas,6,6,0,21 - Minería,857631.916,850685.271,-0.8099797675906517
824,21,21,0 a 5 personas,468,477,9,21 - Minería,857631.916,850685.271,-0.8099797675906517
825,21,21,6 a 10 personas,30,27,-3,21 - Minería,857631.916,850685.271,-0.8099797675906517
866,22,21,0 a 5 personas,83,84,1,21 - Minería,857631.916,850685.271,-0.8099797675906517
867,22,21,6 a 10 personas,13,15,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
907,23,21,6 a 10 personas,1,3,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
948,24,21,0 a 5 personas,74,89,15,21 - Minería,857631.916,850685.271,-0.8099797675906517
949,24,21,6 a 10 personas,21,20,-1,21 - Minería,857631.916,850685.271,-0.8099797675906517
989,25,21,0 a 5 personas,15,22,7,21 - Minería,857631.916,850685.271,-0.8099797675906517
990,25,21,6 a 10 personas,8,9,1,21 - Minería,857631.916,850685.271,-0.8099797675906517
1030,26,21,0 a 5 personas,38,69,31,21 - Minería,857631.916,850685.271,-0.8099797675906517
1031,26,21,6 a 10 personas,28,33,5,21 - Minería,857631.916,850685.271,-0.8099797675906517
1071,27,21,0 a 5 personas,6,9,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
1072,27,21,6 a 10 personas,4,6,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
1112,28,21,0 a 5 personas,9,17,8,21 - Minería,857631.916,850685.271,-0.8099797675906517
1113,28,21,6 a 10 personas,1,7,6,21 - Minería,857631.916,850685.271,-0.8099797675906517
1154,29,21,0 a 5 personas,7,7,0,21 - Minería,857631.916,850685.271,-0.8099797675906517
1155,29,21,6 a 10 personas,2,3,1,21 - Minería,857631.916,850685.271,-0.8099797675906517
1194,30,21,0 a 5 personas,18,20,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
1195,30,21,6 a 10 personas,16,19,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
1235,31,21,0 a 5 personas,4,7,3,21 - Minería,857631.916,850685.271,-0.8099797675906517
1236,31,21,6 a 10 personas,8,10,2,21 - Minería,857631.916,850685.271,-0.8099797675906517
1277,32,21,0 a 5 personas,47,73,26,21 - Minería,857631.916,850685.271,-0.8099797675906517
1278,32,21,6 a 10 personas,5,18,13,21 - Minería,857631.916,850685.271,-0.8099797675906517
2,1,22,0 a 5 personas,22,42,20,"22 - Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",286079.166,270881.436,-5.312421107939071
