Concepto,CODIGO,2019 - 9 Meses,2020 - 9 Meses,DELTA PIB
"11 - Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",11,560500.805,565151.496,0.829738505014288
21 - Minería,21,857631.916,850685.271,-0.8099797675906517
"22 - Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",22,286079.166,270881.436,-5.31242110793907
23 - Construcción,23,1235196.591,993075.226,-19.601848544933365
43 - Comercio al por mayor,43,1551317.935,1372900.386,-11.5010305092618
46 - Comercio al por menor,46,1611615.609,1407252.668,-12.680625569691905
51 - Información en medios masivos,51,559372.583,551477.88,-1.4113496513646573
52 - Servicios financieros y de seguros,52,900037.35,878156.248,-2.4311326635500174
53 - Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,53,2066604.81,2060761.882,-0.28273078489544634
"54 - Servicios profesionales, científicos y técnicos",54,337579.145,316196.774,-6.33403197937481
55 - Corporativos,55,109878.932,99839.338,-9.136959940600809
"56 - Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",56,681087.905,679250.673,-0.2697496147725742
61 - Servicios educativos,61,684380.255,657093.223,-3.987115613088521
62 - Servicios de salud y de asistencia social,62,399303.734,400589.525,0.3220082585053019
"71 - Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",71,78194.398,36024.417,-53.92967025591781
72 - Servicios de alojamiento temporal y de preparación de alimentos y bebidas,72,411477.054,228243.006,-44.53080584172745
81 - Otros servicios excepto actividades gubernamentales,81,366218.067,312252.967,-14.735783092864175
"93 - Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",93,705179.749,728765.746,3.344678719638061
