NUMERO_DE_REGISTRO_O_FILA,NOMBRE_DE_CAMPO,DATO_PUBLICADO,DATO_NUEVO,ESTATUS_DEL_CAMBIO,FECHA_DE_MODIFICACION,OBSERVACIONES_DEL_CAMBIO
1,Q000B,930818.355,930794.665,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
6,Q000B,2607.094,2607.088,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
64,Q000B,352.5,352.494,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
69,Q000B,328.164,328.159,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
74,Q000B,328.164,328.159,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
79,Q000B,11.954,11.953,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
83,Q000B,146.85,146.848,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
88,Q000B,103.245,103.244,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
93,Q000B,22.283,22.282,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
97,Q000B,22.283,22.282,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
101,Q000B,22.283,22.282,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
350,Q000B,8070.044,8069.99,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
355,Q000B,2727.436,2727.435,Cifras definitivas,2020-12-07,Se ampliaron los decimales de la variable Depreciación total de activos fijos para tener un mejor resultado en el redondeo.
