,CVE_ENT,ENTIDAD,CODIGO,Unidades_Económicas,Margen por Negocio
0,04,Campeche,21,17,29770.23805882353
1,27,Tabasco,21,37,5000.6247297297305
2,19,Nuevo León,22,15,2251.0340666666666
3,09,Distrito Federal,55,160,2024.3756625
4,28,Tamaulipas,21,17,1880.0658235294118
5,09,Distrito Federal,22,60,1704.7563333333337
6,30,Veracruz de Ignacio de la Llave,21,60,704.9793999999999
7,21,Puebla,55,3,568.2616666666667
8,26,Sonora,21,145,501.56422068965514
9,07,Chiapas,21,35,433.36408571428564
10,19,Nuevo León,55,72,336.607875
11,01,Aguascalientes,21,19,278.9678947368421
12,22,Querétaro,55,8,207.54787499999998
13,32,Zacatecas,21,106,151.79256603773587
14,23,Quintana Roo,21,5,149.87760000000003
15,26,Sonora,55,4,127.83475000000001
16,26,Sonora,22,77,120.95459740259741
17,10,Durango,55,5,117.5866
18,11,Guanajuato,22,52,114.71486538461536
19,25,Sinaloa,55,11,113.98499999999999
20,10,Durango,21,142,113.30734507042256
21,09,Distrito Federal,51,1168,112.5812029109589
22,15,México,55,19,109.86768421052633
23,14,Jalisco,55,21,103.03880952380953
24,30,Veracruz de Ignacio de la Llave,22,215,100.5007348837209
25,08,Chihuahua,55,11,92.65518181818183
26,03,Baja California Sur,22,5,91.49260000000004
27,08,Chihuahua,21,88,83.8750568181818
28,05,Coahuila de Zaragoza,55,8,79.785625
29,03,Baja California Sur,21,34,77.32194117647056
30,05,Coahuila de Zaragoza,21,180,62.69531111111108
31,10,Durango,22,48,59.74152083333331
32,28,Tamaulipas,22,49,57.553775510204076
33,22,Querétaro,22,36,56.22480555555555
34,09,Distrito Federal,48-49,1934,55.66800258531542
35,24,San Luis Potosí,21,139,54.50898561151078
36,05,Coahuila de Zaragoza,22,45,49.04322222222221
37,25,Sinaloa,22,18,48.83172222222222
38,23,Quintana Roo,22,12,47.46899999999998
39,14,Jalisco,22,125,45.039160000000095
40,30,Veracruz de Ignacio de la Llave,55,8,43.887625
41,11,Guanajuato,55,5,41.28939999999999
42,31,Yucatán,22,112,37.08126785714285
43,04,Campeche,48-49,183,31.00912021857923
44,05,Coahuila de Zaragoza,31-33,9436,30.823499682068686
45,19,Nuevo León,51,351,26.48781766381768
46,27,Tabasco,48-49,406,25.636499999999998
47,19,Nuevo León,31-33,14001,25.238534533247645
48,19,Nuevo León,48-49,1356,23.625745575221238
49,09,Distrito Federal,23,1864,23.457656652360512
50,30,Veracruz de Ignacio de la Llave,48-49,1132,22.94067844522968
51,15,México,48-49,1444,22.63053324099723
52,08,Chihuahua,22,88,22.10554545454546
53,06,Colima,21,44,22.066045454545446
